"","Year","CancelledFlights","AllFlights","GreaterThanMean","CancelledPercentage","GrThanCanPercMean"
"1","1987",19685,1311826,FALSE,1.50058010742278,FALSE
"2","1988",50163,5202096,FALSE,0.964284396135711,FALSE
"3","1989",74165,5041200,FALSE,1.47117749742125,FALSE
"4","1990",52458,5270893,FALSE,0.995239326618848,FALSE
"5","1991",43505,5076925,FALSE,0.856916342077143,FALSE
"6","1992",52836,5092157,FALSE,1.037595659364,FALSE
"7","1993",59845,5070501,FALSE,1.18025812439441,FALSE
"8","1994",66740,5180048,FALSE,1.2884050495285,FALSE
"9","1995",91905,5327435,FALSE,1.72512663223484,FALSE
"10","1996",128536,5351983,TRUE,2.40165187370737,TRUE
"11","1997",97763,5411843,FALSE,1.80646408256854,FALSE
"12","1998",144509,5384721,TRUE,2.68368593284592,TRUE
"13","1999",154311,5527884,TRUE,2.79150213716496,TRUE
"14","2000",187490,5683047,TRUE,3.29911049477507,TRUE
"15","2001",231198,5967780,TRUE,3.87410393814785,TRUE
"16","2002",65143,5271359,FALSE,1.23579137751764,FALSE
"17","2003",101469,6488540,TRUE,1.56381867107238,FALSE
"18","2004",127757,7129270,TRUE,1.79200675524984,FALSE
"19","2005",133730,7140596,TRUE,1.87281285763821,TRUE
"20","2006",121934,7141922,TRUE,1.70729951965311,FALSE
"21","2007",160748,7453215,TRUE,2.15676053890838,TRUE
"22","2008",64442,2389217,FALSE,2.6972016355149,TRUE
